###Beginning of the log file###
2022-06-29 20:53:14,266 Server started
2022-06-29 20:54:31,130 Server started
2022-06-29 20:55:01,407 Server started
2022-06-29 20:58:33,962 Server started
2022-06-29 21:13:12,797 Connected with ('127.0.0.1', 53909)
2022-06-29 21:13:12,798 Connected with ('127.0.0.1', 53910)
2022-06-29 21:13:12,799 Connected with ('127.0.0.1', 53911)
2022-06-29 21:13:12,799 Connected with ('127.0.0.1', 53912)
2022-06-29 21:13:12,800 Connected with ('127.0.0.1', 53913)
2022-06-29 21:13:12,800 Connected with ('127.0.0.1', 53914)
2022-06-29 21:13:12,800 Connected with ('127.0.0.1', 53915)
2022-06-29 21:13:12,814 Connected with ('127.0.0.1', 53916)
2022-06-29 21:13:12,845 Connected with ('127.0.0.1', 53917)
2022-06-29 21:13:12,847 Connected with ('127.0.0.1', 53918)
2022-06-29 21:13:12,849 Connected with ('127.0.0.1', 53919)
2022-06-29 21:13:12,860 Connected with ('127.0.0.1', 53920)
2022-06-29 21:13:12,876 Connected with ('127.0.0.1', 53921)
2022-06-29 21:13:12,877 Connected with ('127.0.0.1', 53922)
2022-06-29 21:13:12,877 Connected with ('127.0.0.1', 53923)
2022-06-29 21:13:12,877 Connected with ('127.0.0.1', 53924)
2022-06-29 21:13:12,893 Connected with ('127.0.0.1', 53925)
2022-06-29 21:13:12,908 Connected with ('127.0.0.1', 53926)
2022-06-29 21:13:12,925 Connected with ('127.0.0.1', 53927)
2022-06-29 21:13:12,925 Connected with ('127.0.0.1', 53928)
2022-06-29 21:13:12,926 Connected with ('127.0.0.1', 53929)
2022-06-29 21:13:12,956 Connected with ('127.0.0.1', 53930)
2022-06-29 21:13:12,956 Connected with ('127.0.0.1', 53931)
2022-06-29 21:13:12,957 Connected with ('127.0.0.1', 53932)
2022-06-29 21:13:12,957 Connected with ('127.0.0.1', 53933)
2022-06-29 21:13:12,957 Connected with ('127.0.0.1', 53934)
2022-06-29 21:13:12,958 Connected with ('127.0.0.1', 53935)
2022-06-29 21:13:12,986 Connected with ('127.0.0.1', 53936)
2022-06-29 21:13:13,002 Connected with ('127.0.0.1', 53937)
2022-06-29 21:13:13,003 Connected with ('127.0.0.1', 53938)
2022-06-29 21:13:13,003 Connected with ('127.0.0.1', 53939)
2022-06-29 21:13:13,017 Connected with ('127.0.0.1', 53940)
2022-06-29 21:13:13,033 Connected with ('127.0.0.1', 53941)
2022-06-29 21:13:13,033 Connected with ('127.0.0.1', 53942)
2022-06-29 21:13:13,034 Connected with ('127.0.0.1', 53943)
2022-06-29 21:13:13,034 Connected with ('127.0.0.1', 53944)
2022-06-29 21:13:13,049 Connected with ('127.0.0.1', 53945)
2022-06-29 21:13:13,065 Connected with ('127.0.0.1', 53946)
2022-06-29 21:13:13,080 Connected with ('127.0.0.1', 53947)
2022-06-29 21:13:13,080 Connected with ('127.0.0.1', 53948)
2022-06-29 21:13:13,081 Connected with ('127.0.0.1', 53949)
2022-06-29 21:13:13,081 Connected with ('127.0.0.1', 53950)
2022-06-29 21:13:13,096 Connected with ('127.0.0.1', 53951)
2022-06-29 21:13:13,112 Connected with ('127.0.0.1', 53952)
2022-06-29 21:13:13,127 Connected with ('127.0.0.1', 53953)
2022-06-29 21:13:13,128 Connected with ('127.0.0.1', 53954)
2022-06-29 21:13:13,129 Connected with ('127.0.0.1', 53955)
2022-06-29 21:13:13,129 Connected with ('127.0.0.1', 53956)
2022-06-29 21:13:13,141 Connected with ('127.0.0.1', 53957)
2022-06-29 21:13:13,157 Connected with ('127.0.0.1', 53958)
2022-06-29 21:13:13,172 Connected with ('127.0.0.1', 53959)
2022-06-29 21:13:13,173 Connected with ('127.0.0.1', 53960)
2022-06-29 21:13:13,173 Connected with ('127.0.0.1', 53961)
2022-06-29 21:13:13,173 Connected with ('127.0.0.1', 53962)
2022-06-29 21:13:13,175 Connected with ('127.0.0.1', 53963)
2022-06-29 21:13:13,203 Connected with ('127.0.0.1', 53964)
2022-06-29 21:13:13,204 Connected with ('127.0.0.1', 53965)
2022-06-29 21:13:13,205 Connected with ('127.0.0.1', 53966)
2022-06-29 21:13:13,206 Connected with ('127.0.0.1', 53967)
2022-06-29 21:13:13,218 Connected with ('127.0.0.1', 53968)
2022-06-29 21:13:13,234 Connected with ('127.0.0.1', 53969)
2022-06-29 21:13:13,235 Connected with ('127.0.0.1', 53970)
2022-06-29 21:13:13,235 Connected with ('127.0.0.1', 53971)
2022-06-29 21:13:13,235 Connected with ('127.0.0.1', 53972)
2022-06-29 21:13:13,235 Connected with ('127.0.0.1', 53973)
2022-06-29 21:13:13,249 Connected with ('127.0.0.1', 53974)
2022-06-29 21:13:13,280 Connected with ('127.0.0.1', 53975)
2022-06-29 21:13:13,281 Connected with ('127.0.0.1', 53976)
2022-06-29 21:13:13,281 Connected with ('127.0.0.1', 53977)
2022-06-29 21:13:13,281 Connected with ('127.0.0.1', 53978)
2022-06-29 21:13:13,282 Connected with ('127.0.0.1', 53979)
2022-06-29 21:13:13,296 Connected with ('127.0.0.1', 53980)
2022-06-29 21:13:13,327 Connected with ('127.0.0.1', 53981)
2022-06-29 21:13:13,328 Connected with ('127.0.0.1', 53982)
2022-06-29 21:13:13,329 Connected with ('127.0.0.1', 53983)
2022-06-29 21:13:13,330 Connected with ('127.0.0.1', 53984)
2022-06-29 21:13:13,342 Connected with ('127.0.0.1', 53985)
2022-06-29 21:13:13,357 Connected with ('127.0.0.1', 53986)
2022-06-29 21:13:13,373 Connected with ('127.0.0.1', 53987)
2022-06-29 21:13:13,374 Connected with ('127.0.0.1', 53988)
2022-06-29 21:13:13,375 Connected with ('127.0.0.1', 53989)
2022-06-29 21:13:13,376 Connected with ('127.0.0.1', 53990)
2022-06-29 21:13:13,388 Connected with ('127.0.0.1', 53991)
2022-06-29 21:13:13,406 Connected with ('127.0.0.1', 53992)
2022-06-29 21:13:13,420 Connected with ('127.0.0.1', 53993)
2022-06-29 21:13:13,422 Connected with ('127.0.0.1', 53994)
2022-06-29 21:13:13,422 Connected with ('127.0.0.1', 53995)
2022-06-29 21:13:13,435 Connected with ('127.0.0.1', 53996)
2022-06-29 21:13:13,451 Connected with ('127.0.0.1', 53997)
2022-06-29 21:13:13,452 Connected with ('127.0.0.1', 53998)
2022-06-29 21:13:13,452 Connected with ('127.0.0.1', 53999)
2022-06-29 21:13:13,453 Connected with ('127.0.0.1', 54000)
2022-06-29 21:13:13,453 Connected with ('127.0.0.1', 54001)
2022-06-29 21:13:13,467 Connected with ('127.0.0.1', 54002)
2022-06-29 21:13:13,498 Connected with ('127.0.0.1', 54003)
2022-06-29 21:13:13,499 Connected with ('127.0.0.1', 54004)
2022-06-29 21:13:13,499 Connected with ('127.0.0.1', 54005)
2022-06-29 21:13:13,499 Connected with ('127.0.0.1', 54006)
2022-06-29 21:13:13,500 Connected with ('127.0.0.1', 54007)
2022-06-29 21:13:13,514 Connected with ('127.0.0.1', 54008)
2022-06-29 21:13:13,546 Connected with ('127.0.0.1', 54009)
2022-06-29 21:13:13,547 Connected with ('127.0.0.1', 54010)
2022-06-29 21:13:13,547 Connected with ('127.0.0.1', 54011)
2022-06-29 21:13:13,547 Connected with ('127.0.0.1', 54012)
2022-06-29 21:13:13,548 Connected with ('127.0.0.1', 54013)
2022-06-29 21:13:13,563 Connected with ('127.0.0.1', 54014)
2022-06-29 21:13:13,595 Connected with ('127.0.0.1', 54015)
2022-06-29 21:13:13,595 Connected with ('127.0.0.1', 54016)
2022-06-29 21:13:13,595 Connected with ('127.0.0.1', 54017)
2022-06-29 21:13:13,596 Connected with ('127.0.0.1', 54018)
2022-06-29 21:13:13,596 Connected with ('127.0.0.1', 54019)
2022-06-29 21:13:13,611 Connected with ('127.0.0.1', 54020)
2022-06-29 21:13:13,641 Connected with ('127.0.0.1', 54021)
2022-06-29 21:13:13,641 Connected with ('127.0.0.1', 54022)
2022-06-29 21:13:13,642 Connected with ('127.0.0.1', 54023)
2022-06-29 21:13:13,642 Connected with ('127.0.0.1', 54024)
2022-06-29 21:13:13,642 Connected with ('127.0.0.1', 54025)
2022-06-29 21:13:13,656 Connected with ('127.0.0.1', 54026)
2022-06-29 21:13:13,689 Connected with ('127.0.0.1', 54027)
2022-06-29 21:13:13,689 Connected with ('127.0.0.1', 54028)
2022-06-29 21:13:13,690 Connected with ('127.0.0.1', 54029)
2022-06-29 21:13:13,690 Connected with ('127.0.0.1', 54030)
2022-06-29 21:13:13,704 Connected with ('127.0.0.1', 54031)
2022-06-29 21:13:13,719 Connected with ('127.0.0.1', 54032)
2022-06-29 21:13:13,735 Connected with ('127.0.0.1', 54033)
2022-06-29 21:13:13,736 Connected with ('127.0.0.1', 54034)
2022-06-29 21:13:13,737 Connected with ('127.0.0.1', 54035)
2022-06-29 21:13:13,737 Connected with ('127.0.0.1', 54036)
2022-06-29 21:13:13,738 Connected with ('127.0.0.1', 54037)
2022-06-29 21:13:13,752 Connected with ('127.0.0.1', 54038)
2022-06-29 21:13:13,782 Connected with ('127.0.0.1', 54039)
2022-06-29 21:13:13,782 Connected with ('127.0.0.1', 54040)
2022-06-29 21:13:13,782 Connected with ('127.0.0.1', 54041)
2022-06-29 21:13:13,783 Connected with ('127.0.0.1', 54042)
2022-06-29 21:13:13,797 Connected with ('127.0.0.1', 54043)
2022-06-29 21:13:13,814 Connected with ('127.0.0.1', 54044)
2022-06-29 21:13:13,829 Connected with ('127.0.0.1', 54045)
2022-06-29 21:13:13,830 Connected with ('127.0.0.1', 54046)
2022-06-29 21:13:13,830 Connected with ('127.0.0.1', 54047)
2022-06-29 21:13:13,830 Connected with ('127.0.0.1', 54048)
2022-06-29 21:13:13,845 Connected with ('127.0.0.1', 54049)
2022-06-29 21:13:13,861 Connected with ('127.0.0.1', 54050)
2022-06-29 21:13:13,876 Connected with ('127.0.0.1', 54051)
2022-06-29 21:13:13,876 Connected with ('127.0.0.1', 54052)
2022-06-29 21:13:13,876 Connected with ('127.0.0.1', 54053)
2022-06-29 21:13:13,877 Connected with ('127.0.0.1', 54054)
2022-06-29 21:13:13,891 Connected with ('127.0.0.1', 54055)
2022-06-29 21:13:13,907 Connected with ('127.0.0.1', 54056)
2022-06-29 21:13:13,907 Connected with ('127.0.0.1', 54057)
2022-06-29 21:13:13,908 Connected with ('127.0.0.1', 54058)
2022-06-29 21:13:13,908 Connected with ('127.0.0.1', 54059)
2022-06-29 21:13:13,922 Connected with ('127.0.0.1', 54060)
2022-06-29 21:13:13,939 Connected with ('127.0.0.1', 54061)
2022-06-29 21:13:13,954 Connected with ('127.0.0.1', 54062)
2022-06-29 21:13:13,955 Connected with ('127.0.0.1', 54063)
2022-06-29 21:13:13,955 Connected with ('127.0.0.1', 54064)
2022-06-29 21:13:13,955 Connected with ('127.0.0.1', 54065)
2022-06-29 21:13:13,955 Connected with ('127.0.0.1', 54066)
2022-06-29 21:13:13,969 Connected with ('127.0.0.1', 54067)
2022-06-29 21:13:14,000 Connected with ('127.0.0.1', 54068)
2022-06-29 21:13:14,001 Connected with ('127.0.0.1', 54069)
2022-06-29 21:13:14,001 Connected with ('127.0.0.1', 54070)
2022-06-29 21:13:14,002 Connected with ('127.0.0.1', 54071)
2022-06-29 21:13:14,015 Connected with ('127.0.0.1', 54072)
2022-06-29 21:13:14,032 Connected with ('127.0.0.1', 54073)
2022-06-29 21:13:14,047 Connected with ('127.0.0.1', 54074)
2022-06-29 21:13:14,048 Connected with ('127.0.0.1', 54075)
2022-06-29 21:13:14,049 Connected with ('127.0.0.1', 54076)
2022-06-29 21:13:14,049 Connected with ('127.0.0.1', 54077)
2022-06-29 21:13:14,062 Connected with ('127.0.0.1', 54078)
2022-06-29 21:13:14,077 Connected with ('127.0.0.1', 54079)
2022-06-29 21:13:14,094 Connected with ('127.0.0.1', 54080)
2022-06-29 21:13:14,095 Connected with ('127.0.0.1', 54081)
2022-06-29 21:13:14,095 Connected with ('127.0.0.1', 54082)
2022-06-29 21:13:14,096 Connected with ('127.0.0.1', 54083)
2022-06-29 21:13:14,109 Connected with ('127.0.0.1', 54084)
2022-06-29 21:13:14,124 Connected with ('127.0.0.1', 54085)
2022-06-29 21:13:14,125 Connected with ('127.0.0.1', 54086)
2022-06-29 21:13:14,125 Connected with ('127.0.0.1', 54087)
2022-06-29 21:13:14,125 Connected with ('127.0.0.1', 54088)
2022-06-29 21:13:14,140 Connected with ('127.0.0.1', 54089)
2022-06-29 21:13:14,156 Connected with ('127.0.0.1', 54090)
2022-06-29 21:13:14,171 Connected with ('127.0.0.1', 54091)
2022-06-29 21:13:14,172 Connected with ('127.0.0.1', 54092)
2022-06-29 21:13:14,172 Connected with ('127.0.0.1', 54093)
2022-06-29 21:13:14,172 Connected with ('127.0.0.1', 54094)
2022-06-29 21:13:14,173 Connected with ('127.0.0.1', 54095)
2022-06-29 21:13:14,173 Connected with ('127.0.0.1', 54096)
2022-06-29 21:13:14,186 Connected with ('127.0.0.1', 54097)
2022-06-29 21:13:14,218 Connected with ('127.0.0.1', 54098)
2022-06-29 21:13:14,233 Connected with ('127.0.0.1', 54099)
2022-06-29 21:13:14,233 Connected with ('127.0.0.1', 54100)
2022-06-29 21:13:14,234 Connected with ('127.0.0.1', 54101)
2022-06-29 21:13:14,248 Connected with ('127.0.0.1', 54102)
2022-06-29 21:13:14,263 Connected with ('127.0.0.1', 54103)
2022-06-29 21:13:14,263 Connected with ('127.0.0.1', 54104)
2022-06-29 21:13:14,264 Connected with ('127.0.0.1', 54105)
2022-06-29 21:13:14,264 Connected with ('127.0.0.1', 54106)
2022-06-29 21:13:14,278 Connected with ('127.0.0.1', 54107)
2022-06-29 21:13:14,295 Connected with ('127.0.0.1', 54108)
2022-06-29 21:13:14,310 Connected with ('127.0.0.1', 54109)
2022-06-29 21:13:14,311 Connected with ('127.0.0.1', 54110)
2022-06-29 21:13:14,311 Connected with ('127.0.0.1', 54111)
2022-06-29 21:13:14,312 Connected with ('127.0.0.1', 54112)
2022-06-29 21:13:14,326 Connected with ('127.0.0.1', 54113)
2022-06-29 21:13:14,341 Connected with ('127.0.0.1', 54115)
2022-06-29 21:13:14,357 Connected with ('127.0.0.1', 54116)
2022-06-29 21:13:14,358 Connected with ('127.0.0.1', 54117)
2022-06-29 21:13:14,359 Connected with ('127.0.0.1', 54118)
2022-06-29 21:13:14,361 Connected with ('127.0.0.1', 54119)
2022-06-29 21:13:14,388 Connected with ('127.0.0.1', 54120)
2022-06-29 21:13:14,389 Connected with ('127.0.0.1', 54121)
2022-06-29 21:13:14,389 Connected with ('127.0.0.1', 54122)
2022-06-29 21:13:14,389 Connected with ('127.0.0.1', 54123)
2022-06-29 21:13:14,404 Connected with ('127.0.0.1', 54124)
2022-06-29 21:13:14,420 Connected with ('127.0.0.1', 54125)
2022-06-29 21:13:14,435 Connected with ('127.0.0.1', 54126)
2022-06-29 21:13:14,435 Connected with ('127.0.0.1', 54127)
2022-06-29 21:13:14,436 Connected with ('127.0.0.1', 54128)
2022-06-29 21:13:14,436 Connected with ('127.0.0.1', 54129)
2022-06-29 21:13:14,450 Connected with ('127.0.0.1', 54130)
2022-06-29 21:13:14,466 Connected with ('127.0.0.1', 54131)
2022-06-29 21:13:14,481 Connected with ('127.0.0.1', 54132)
2022-06-29 21:13:14,482 Connected with ('127.0.0.1', 54133)
2022-06-29 21:13:14,482 Connected with ('127.0.0.1', 54134)
2022-06-29 21:13:14,482 Connected with ('127.0.0.1', 54135)
2022-06-29 21:13:14,497 Connected with ('127.0.0.1', 54136)
2022-06-29 21:13:14,513 Connected with ('127.0.0.1', 54137)
2022-06-29 21:13:14,528 Connected with ('127.0.0.1', 54138)
2022-06-29 21:13:14,529 Connected with ('127.0.0.1', 54139)
2022-06-29 21:13:14,530 Connected with ('127.0.0.1', 54140)
2022-06-29 21:13:14,531 Connected with ('127.0.0.1', 54141)
2022-06-29 21:13:14,544 Connected with ('127.0.0.1', 54142)
2022-06-29 21:13:14,561 Connected with ('127.0.0.1', 54143)
2022-06-29 21:13:14,577 Connected with ('127.0.0.1', 54144)
2022-06-29 21:13:14,577 Connected with ('127.0.0.1', 54145)
2022-06-29 21:13:14,578 Connected with ('127.0.0.1', 54146)
2022-06-29 21:13:14,578 Connected with ('127.0.0.1', 54147)
2022-06-29 21:13:14,578 Connected with ('127.0.0.1', 54148)
2022-06-29 21:13:14,592 Connected with ('127.0.0.1', 54149)
2022-06-29 21:13:14,623 Connected with ('127.0.0.1', 54150)
2022-06-29 21:13:14,625 Connected with ('127.0.0.1', 54151)
2022-06-29 21:13:14,625 Connected with ('127.0.0.1', 54152)
2022-06-29 21:13:14,627 Connected with ('127.0.0.1', 54153)
2022-06-29 21:13:14,640 Connected with ('127.0.0.1', 54154)
2022-06-29 21:13:14,657 Connected with ('127.0.0.1', 54155)
2022-06-29 21:13:14,671 Connected with ('127.0.0.1', 54156)
2022-06-29 21:13:14,672 Connected with ('127.0.0.1', 54157)
2022-06-29 21:13:14,673 Connected with ('127.0.0.1', 54158)
2022-06-29 21:13:14,688 Connected with ('127.0.0.1', 54159)
2022-06-29 21:13:14,702 Connected with ('127.0.0.1', 54160)
2022-06-29 21:13:14,703 Connected with ('127.0.0.1', 54161)
2022-06-29 21:13:14,703 Connected with ('127.0.0.1', 54162)
2022-06-29 21:13:14,703 Connected with ('127.0.0.1', 54163)
2022-06-29 21:13:14,717 Connected with ('127.0.0.1', 54164)
2022-06-29 21:13:14,735 Connected with ('127.0.0.1', 54165)
2022-06-29 21:13:14,750 Connected with ('127.0.0.1', 54166)
2022-06-29 21:13:14,751 Connected with ('127.0.0.1', 54167)
2022-06-29 21:13:14,751 Connected with ('127.0.0.1', 54168)
2022-06-29 21:13:14,766 Connected with ('127.0.0.1', 54169)
2022-06-29 21:13:14,780 Connected with ('127.0.0.1', 54170)
2022-06-29 21:13:14,781 Connected with ('127.0.0.1', 54171)
